book,source,target,weight
3,Aphrodite,Bianca di Angelo,6
3,Aphrodite,Chiron,6
3,Aphrodite,Clarisse La Rue,4
3,Aphrodite,Demeter,4
3,Aphrodite,Dionysus,2
3,Aphrodite,Gabe Ugliano,2
3,Aphrodite,Grover Underwood,8
3,Aphrodite,Hephaestus,6
3,Aphrodite,Hera,2
3,Aphrodite,Hermes,8
3,Aphrodite,Luke Castellan,2
3,Aphrodite,Medusa,2
3,Aphrodite,Nico di Angelo,8
3,Aphrodite,Percy Jackson,350
3,Aphrodite,Poseidon,2
3,Aphrodite,Sally Jackson,6
3,Aphrodite,Thalia Grace,24
3,Aphrodite,Zeus,2
3,Aphrodite,Zoë Nightshade,34
3,Apollo,Ares,10
3,Apollo,Artemis,104
3,Apollo,Athena,10
3,Apollo,Atlas,2
3,Apollo,Bessie / Ophiotaurus,4
3,Apollo,Bianca di Angelo,20
3,Apollo,Chiron,12
3,Apollo,Demeter,6
3,Apollo,Dionysus,4
3,Apollo,Dr. Thorn,4
3,Apollo,Grover Underwood,52
3,Apollo,Hephaestus,2
3,Apollo,Hera,4
3,Apollo,Hermes,10
3,Apollo,Kronos,2
3,Apollo,Luke Castellan,16
3,Apollo,Nereus,14
3,Apollo,Nico di Angelo,34
3,Apollo,Oracle,18
3,Apollo,Pan,2
3,Apollo,Percy Jackson,692
3,Apollo,Poseidon,6
3,Apollo,Sally Jackson,8
3,Apollo,Thalia Grace,120
3,Apollo,Zeus,32
3,Apollo,Zoë Nightshade,54
3,Ares,Artemis,14
3,Ares,Athena,32
3,Ares,Atlas,4
3,Ares,Bianca di Angelo,14
3,Ares,Chiron,24
3,Ares,Clarisse La Rue,10
3,Ares,Demeter,6
3,Ares,Dionysus,36
3,Ares,Gabe Ugliano,2
3,Ares,Grover Underwood,18
3,Ares,Hades,4
3,Ares,Hephaestus,18
3,Ares,Hera,6
3,Ares,Hermes,16
3,Ares,Luke Castellan,4
3,Ares,Nico di Angelo,14
3,Ares,Pan,2
3,Ares,Percy Jackson,456
3,Ares,Poseidon,14
3,Ares,Sally Jackson,6
3,Ares,Thalia Grace,50
3,Ares,Zeus,26
3,Ares,Zoë Nightshade,32
3,Argus,Artemis,12
3,Argus,Blackjack,10
3,Argus,Chiron,16
3,Argus,Dionysus,2
3,Argus,Grover Underwood,14
3,Argus,Nico di Angelo,2
3,Argus,Percy Jackson,104
3,Argus,Sally Jackson,2
3,Argus,Thalia Grace,4
3,Argus,Zoë Nightshade,12
3,Artemis,Athena,10
3,Artemis,Atlas,112
3,Artemis,Bessie / Ophiotaurus,24
3,Artemis,Bianca di Angelo,152
3,Artemis,Blackjack,2
3,Artemis,Chiron,62
3,Artemis,Dionysus,26
3,Artemis,Dr. Thorn,22
3,Artemis,Frederick Chase,24
3,Artemis,Grover Underwood,138
3,Artemis,Hephaestus,4
3,Artemis,Hermes,6
3,Artemis,Kronos,38
3,Artemis,Ladon,14
3,Artemis,Luke Castellan,74
3,Artemis,Nereus,20
3,Artemis,Nico di Angelo,54
3,Artemis,Oracle,12
3,Artemis,Pan,2
3,Artemis,Percy Jackson,1970
3,Artemis,Poseidon,10
3,Artemis,Sally Jackson,2
3,Artemis,Thalia Grace,190
3,Artemis,Zeus,40
3,Artemis,Zoë Nightshade,462
3,Athena,Atlas,6
3,Athena,Bessie / Ophiotaurus,4
3,Athena,Blackjack,2
3,Athena,Demeter,2
3,Athena,Dionysus,20
3,Athena,Dr. Thorn,12
3,Athena,Frederick Chase,4
3,Athena,Grover Underwood,10
3,Athena,Hades,4
3,Athena,Hephaestus,4
3,Athena,Hera,2
3,Athena,Hermes,2
3,Athena,Kronos,10
3,Athena,Luke Castellan,4
3,Athena,Medusa,2
3,Athena,Nico di Angelo,4
3,Athena,Percy Jackson,320
3,Athena,Poseidon,16
3,Athena,Thalia Grace,44
3,Athena,Zeus,24
3,Athena,Zoë Nightshade,6
3,Atlas,Bessie / Ophiotaurus,4
3,Atlas,Bianca di Angelo,2
3,Atlas,Chiron,6
3,Atlas,Frederick Chase,2
3,Atlas,Grover Underwood,2
3,Atlas,Kronos,12
3,Atlas,Ladon,6
3,Atlas,Luke Castellan,38
3,Atlas,Oracle,2
3,Atlas,Percy Jackson,422
3,Atlas,Poseidon,6
3,Atlas,Thalia Grace,52
3,Atlas,Zeus,4
3,Atlas,Zoë Nightshade,114
3,Bessie / Ophiotaurus,Chiron,8
3,Bessie / Ophiotaurus,Dionysus,16
3,Bessie / Ophiotaurus,Dr. Thorn,2
3,Bessie / Ophiotaurus,Grover Underwood,146
3,Bessie / Ophiotaurus,Hephaestus,6
3,Bessie / Ophiotaurus,Kronos,10
3,Bessie / Ophiotaurus,Luke Castellan,44
3,Bessie / Ophiotaurus,Nereus,6
3,Bessie / Ophiotaurus,Percy Jackson,636
3,Bessie / Ophiotaurus,Poseidon,24
3,Bessie / Ophiotaurus,Sally Jackson,10
3,Bessie / Ophiotaurus,Thalia Grace,118
3,Bessie / Ophiotaurus,Tyson,6
3,Bessie / Ophiotaurus,Zeus,44
3,Bessie / Ophiotaurus,Zoë Nightshade,66
3,Bianca di Angelo,Blackjack,4
3,Bianca di Angelo,Chiron,52
3,Bianca di Angelo,Dionysus,18
3,Bianca di Angelo,Dr. Thorn,66
3,Bianca di Angelo,Grover Underwood,348
3,Bianca di Angelo,Hades,16
3,Bianca di Angelo,Hermes,6
3,Bianca di Angelo,Kronos,4
3,Bianca di Angelo,Luke Castellan,12
3,Bianca di Angelo,Medusa,2
3,Bianca di Angelo,Nico di Angelo,222
3,Bianca di Angelo,Pan,6
3,Bianca di Angelo,Percy Jackson,1892
3,Bianca di Angelo,Poseidon,4
3,Bianca di Angelo,Sally Jackson,4
3,Bianca di Angelo,Talos,22
3,Bianca di Angelo,Thalia Grace,288
3,Bianca di Angelo,Zeus,10
3,Bianca di Angelo,Zoë Nightshade,470
3,Blackjack,Chiron,6
3,Blackjack,Dionysus,30
3,Blackjack,Frederick Chase,22
3,Blackjack,Grover Underwood,8
3,Blackjack,Kronos,4
3,Blackjack,Luke Castellan,16
3,Blackjack,Nico di Angelo,10
3,Blackjack,Percy Jackson,592
3,Blackjack,Poseidon,12
3,Blackjack,Thalia Grace,16
3,Blackjack,Zoë Nightshade,44
3,Chiron,Clarisse La Rue,14
3,Chiron,Dionysus,142
3,Chiron,Grover Underwood,168
3,Chiron,Hades,8
3,Chiron,Hephaestus,2
3,Chiron,Hera,2
3,Chiron,Kronos,20
3,Chiron,Luke Castellan,18
3,Chiron,Nereus,4
3,Chiron,Nico di Angelo,90
3,Chiron,Oracle,8
3,Chiron,Pan,8
3,Chiron,Percy Jackson,1184
3,Chiron,Poseidon,14
3,Chiron,Rachel Elizabeth Dare,2
3,Chiron,Sally Jackson,12
3,Chiron,Thalia Grace,208
3,Chiron,Zeus,16
3,Chiron,Zoë Nightshade,138
3,Clarisse La Rue,Dionysus,2
3,Clarisse La Rue,Grover Underwood,2
3,Clarisse La Rue,Hephaestus,4
